item_id	omeka_id	error
IL-MTFN-001-G-F-0047-024-R0013	7996	
IL-MTFN-001-G-F-0047-024-R0014	7997	
IL-MTFN-001-G-F-0047-024-R0015	7998	
IL-MTFN-001-G-F-0047-024-R0016	7999	
IL-MTFN-001-G-F-0047-024-R0017	8000	
IL-MTFN-001-G-F-0047-024-R0019	8001	
IL-MTFN-001-G-F-0047-025-R0002	8002	
IL-MTFN-001-G-F-0047-025-R0004	8003	
IL-MTFN-001-G-F-0047-026-R0001	8004	
IL-MTFN-001-G-F-0047-027-R0004	8005	
IL-MTFN-001-G-F-0047-027-R0008	8006	
IL-MTFN-001-G-F-0047-028-R0001	8007	
IL-MTFN-001-G-F-0047-029-R0006	8008	
IL-MTFN-001-G-F-0047-029-R0011	8009	
IL-MTFN-001-G-F-0047-029-R0012	8010	
IL-MTFN-001-G-F-0047-031-R0002	8011	
IL-MTFN-001-G-F-0047-031-R0003	8012	
IL-MTFN-001-G-F-0047-031-R0004	8013	
IL-MTFN-001-G-F-0047-032-R0001	8014	
IL-MTFN-001-G-F-0047-032-R0002	8015	
IL-MTFN-001-G-F-0047-037-R0002	8016	
IL-MTFN-001-G-F-0047-037-R0006	8017	
IL-MTFN-001-G-F-0047-037-R0007	8018	
IL-MTFN-001-G-F-0047-037-R0008	8019	
IL-MTFN-001-G-F-0047-037-R0009	8020	
IL-MTFN-001-G-F-0047-038-R0004	8021	
IL-MTFN-001-G-F-0047-038-R0005	8022	
IL-MTFN-001-G-F-0047-039-R0002	8023	
IL-MTFN-001-G-F-0047-039-R0004	8024	
IL-MTFN-001-G-F-0047-041-R0002	8025	
IL-MTFN-001-G-F-0047-043-R0004	8026	
IL-MTFN-001-G-F-0047-043-R0005	8027	
IL-MTFN-001-G-F-0047-043-R0008	8028	
IL-MTFN-001-G-F-0047-043-R0009	8029	
IL-MTFN-001-G-F-0047-044-R0001	8030	
IL-MTFN-001-G-F-0047-044-R0002	8031	
IL-MTFN-001-G-F-0047-044-R0003	8032	
IL-MTFN-001-G-F-0047-044-R0004	8033	
IL-MTFN-001-G-F-0047-044-R0005	8034	
IL-MTFN-001-G-F-0047-044-R0007	8035	
IL-MTFN-001-G-F-0047-045-R0001	8036	
IL-MTFN-001-G-F-0047-045-R0012	8037	
IL-MTFN-001-G-F-0047-046-R0001	8038	
IL-MTFN-001-G-F-0047-049-R0001	8039	
IL-MTFN-001-G-F-0047-050-R0003	8040	
IL-MTFN-001-G-F-0047-050-R0004	8041	
IL-MTFN-001-G-F-0047-050-R0005	8042	
IL-MTFN-001-G-F-0047-050-R0007	8043	
IL-MTFN-001-G-F-0047-050-R0008	8044	
IL-MTFN-001-G-F-0047-050-R0009	8045	
IL-MTFN-001-G-F-0048-001-R0001	8046	
IL-MTFN-001-G-F-0048-001-R0002	8047	
IL-MTFN-001-G-F-0049-001-R0001	8048	
IL-MTFN-001-G-F-0049-001-R0002	8049	
IL-MTFN-001-G-F-0050-001-R0001	8050	
IL-MTFN-001-G-F-0050-001-R0003	8051	
IL-MTFN-001-G-F-0050-001-R0005	8052	
IL-MTFN-001-G-F-0050-001-R0006	8053	
IL-MTFN-001-G-F-0051-001-R0001	8054	
IL-MTFN-001-G-F-0051-001-R0002	8055	
IL-MTFN-001-G-F-0051-001-R0003	8056	
IL-MTFN-001-G-F-0051-001-R0005	8057	
IL-MTFN-001-G-F-0052-001-R0001	8058	
IL-MTFN-001-G-F-0052-001-R0003	8059	
IL-MTFN-001-G-F-0052-001-R0005	8060	
IL-MTFN-001-G-F-0052-001-R0006	8061	
IL-MTFN-001-G-F-0053-001-R0001	8062	
IL-MTFN-001-G-F-0053-001-R0002	8063	
IL-MTFN-001-G-F-0053-001-R0003	8064	
IL-MTFN-001-G-F-0053-001-R0004	8065	
IL-MTFN-001-G-F-0053-001-R0005	8066	
IL-MTFN-001-G-F-0053-001-R0006	8067	
IL-MTFN-001-G-F-0053-002-R0001	8068	
IL-MTFN-001-G-F-0053-002-R0002	8069	
IL-MTFN-001-G-F-0053-002-R0003	8070	
IL-MTFN-001-G-F-0053-002-R0005	8071	
IL-MTFN-001-G-F-0053-002-R0006	8072	
IL-MTFN-001-G-F-0053-002-R0007	8073	
IL-MTFN-001-G-F-0053-002-R0008	8074	
IL-MTFN-001-G-F-0053-002-R0009	8075	
IL-MTFN-001-G-F-0053-003-R0001	8076	
IL-MTFN-001-G-F-0053-003-R0002	8077	
IL-MTFN-001-G-F-0053-003-R0003	8078	
IL-MTFN-001-G-F-0053-003-R0004	8079	
IL-MTFN-001-G-F-0053-003-R0005	8080	
IL-MTFN-001-G-F-0053-003-R0006	8081	
IL-MTFN-001-G-F-0053-003-R0007	8082	
IL-MTFN-001-G-F-0053-003-R0008	8083	
IL-MTFN-001-G-F-0053-004-R0001	8084	
